artist,title,play_count,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
Frank Ocean,White Ferrari,410,2LMkwUfqC6S6s6qDVlEuzV,0.78,0.45,0.09,0,0,0.3,-15.59,1,0.04,108.98,4,0.23
Frank Ocean,Pink + White,399,3xKsf9qdS1CyvXSMEid6g8,0.67,0.55,0.55,0,9,0.42,-7.36,1,0.11,159.94,3,0.55
Frank Ocean,Self Control,393,5GUYJTQap5F3RDQiCOJhrS,0.77,0.58,0.21,0,8,0.37,-10.43,1,0.03,80.1,4,0.45
Frank Ocean,Seigfried,384,1BViPjTT585XAhkUUrkts0,0.98,0.38,0.25,0,4,0.1,-11.16,0,0.04,125.4,3,0.37
Frank Ocean,Ivy,380,2ZWlPOoWh0626oTaHrnl2a,0.79,0.58,0.39,0,9,0.23,-9.58,0,0.04,116.41,4,0.47
Frank Ocean,Nikes,380,19YKaevk2bce4odJkP5L22,0.69,0.63,0.4,0,8,0.11,-9.64,1,0.09,138.02,4,0.12
Frank Ocean,Nights,378,7eqoqGkKwgOaWNNHx90uEZ,0.43,0.46,0.55,0,5,0.11,-9.36,0,0.17,89.87,4,0.43
Frank Ocean,Solo,375,35xSkNIXi504fcEwz9USRB,0.85,0.47,0.29,0,5,0.16,-10.63,0,0.04,133.81,4,0.26
Frank Ocean,Good Guy,364,2JUqYobT8NvARdPmc4ES2x,0.98,0.53,0.13,0,0,0.12,-12.79,1,0.46,107.01,5,0.81
Frank Ocean,Skyline To,354,4xR3MAscflQ262kMeiKshQ,0.88,0.43,0.3,0,3,0.1,-13.65,1,0.06,129.05,4,0.39
Phoebe Bridgers,Kyoto,336,4vjvx7Zxkb4AltGcZ0BBvI,0.04,0.59,0.75,0.29,11,0.1,-6.94,1,0.04,131.01,4,0.5
Japanese Breakfast,Boyish,327,4ETQzZdnRJwaoFIPQy3GJv,0.1,0.23,0.46,0,2,0.19,-7.46,1,0.03,106.73,4,0.37
Frank Ocean,Bad Religion,319,2pMPWE7PJH1PizfgGRMnR9,0.74,0.36,0.37,0,9,0.07,-7.68,1,0.03,83.33,4,0.1
Phoebe Bridgers,Motion Sickness,318,5xo8RrjJ9CVNrtRg2S3B1R,0.77,0.65,0.55,0.04,1,0.08,-9.02,1,0.04,107.02,4,0.62
Snail Mail,Pristine,308,5JX6gZ5mOASumPrU1JbfbV,0,0.48,0.69,0,0,0.1,-5.51,1,0.03,126.24,4,0.29
Alvvays,"Archie, Marry Me",298,0KVWVuutF9Dn8li4HdyAeU,0.01,0.27,0.83,0.43,7,0.14,-4.59,1,0.07,117.35,4,0.2
Phoebe Bridgers,I Know the End,293,0pJW1Xw3aY4Eh6k5iuBkfI,0.33,0.32,0.32,0.02,1,0.23,-10.27,1,0.04,111.83,4,0.26
Alvvays,Forget About Life,290,2bjxKyGCrBv8JFXvo6Qdrk,0.04,0.36,0.53,0,5,0.2,-5.85,1,0.03,92.36,4,0.1
Phoebe Bridgers,ICU,289,0Jm0RTOlF7DsbQ689QclaF,0.42,0.51,0.65,0.01,2,0.1,-8.08,1,0.03,133.98,4,0.4
Snail Mail,Heat Wave,289,7B0uWqVjMySfDKhtZghBkO,0,0.5,0.68,0,9,0.15,-5.7,1,0.03,123.89,4,0.19
Snail Mail,Full Control,288,3VDc9l2LmtiXIpdV2hYLsg,0,0.55,0.75,0.06,11,0.14,-4.69,1,0.03,117,4,0.58
Frank Ocean,Super Rich Kids,274,0725YWm6Z0TpZ6wrNk64Eb,0.22,0.74,0.42,0,3,0.2,-8.24,0,0.09,60.49,4,0.58
Weyes Blood,Andromeda,271,51EMSRpNm9Rg5rGViVCczv,0.37,0.47,0.46,0,1,0.36,-7.94,0,0.03,131.33,4,0.19
orion sun,dirty dancer,269,2ec4j5mBjybdAKxQ51IFoC,0.38,0.7,0.53,0.07,7,0.12,-5.03,0,0.03,113.86,4,0.52
Frank Ocean,Godspeed,268,34xTFwjPQ1dC6uJmleno7x,0.93,0.4,0.1,0,6,0.12,-12.58,1,0.05,109.54,4,0.08
Alvvays,In Undertow,265,6Px7VvXLTjMP6J2nTQ6bIh,0,0.36,0.72,0.01,1,0.1,-2.56,1,0.04,116.93,4,0.31
Faye Webster,Kingston,262,5WbfFTuIldjL9x7W6y5l7R,0.15,0.73,0.36,0,10,0.12,-9.13,0,0.04,142.14,4,0.56
Tame Impala,The Less I Know the Better,256,6K4t31amVTZDgR3sKmwUJJ,0.01,0.64,0.74,0.01,4,0.17,-4.08,1,0.03,116.88,4,0.79
Japanese Breakfast,12 Steps,253,13fNNyUJdAY6Fn6PoKF66D,0.02,0.42,0.71,0,7,0.26,-4.4,1,0.03,115.19,4,0.48
Frank Ocean,Pyramids,251,4QhWbupniDd44EDtnh2bFJ,0.01,0.4,0.66,0,5,0.79,-6.13,0,0.05,108.03,4,0.16
Japanese Breakfast,Till Death,249,3wJVQr9ZfLZfcj19aIfjub,0.25,0.45,0.34,0,6,0.09,-8.53,1,0.03,76.07,4,0.28
Phoebe Bridgers,Scott Street,248,6Uwi2Qk3H7fM4b4W4ExrAp,0.77,0.51,0.42,0.09,10,0.09,-9.63,1,0.03,134.94,4,0.48
Phoebe Bridgers,Smoke Signals,248,5w52BJAqGkV1ewaCVLmjhi,0.95,0.27,0.24,0,10,0.11,-14.6,1,0.04,87.91,1,0.19
orion sun,intro,247,5xsa7MYAmWvlDuGaB7FZUE,0.2,0.53,0.46,0,10,0.27,-9.32,0,0.03,84.4,4,0.65
Frank Ocean,Crack Rock,245,5lcyIeEfwZTs8Ajw3kdF7P,0.07,0.43,0.74,0,5,0.09,-8.02,1,0.22,89.26,4,0.38
orion sun,Concrete,245,2B0p9p2bBzB9MnfWIeCbzq,0.51,0.72,0.6,0,0,0.1,-7.04,1,0.1,147.97,4,0.86
Alvvays,Party Police,244,1k7Rkce3IdlSJeueS8LxuD,0.53,0.45,0.76,0.84,9,0.33,-4.2,1,0.04,121.74,4,0.42
Drake,Feel No Ways,240,3cjF2OFRmip8spwZYQRKxP,0.03,0.58,0.68,0,7,0.12,-7.08,1,0.17,193.82,4,0.21
orion sun,celebration,239,5CXWISbMok9HY5xB9btNIa,0.53,0.15,0.46,0.31,1,0.09,-8.91,1,0.03,82.24,4,0.32
The Japanese House,Lilo,238,32P4qhYWGe9XEQE2XGgfdP,0.47,0.55,0.56,0,7,0.1,-8.8,1,0.05,119.79,4,0.22
Frank Ocean,Pink Matter,235,1fOkmYW3ZFkkjIdOZSf596,0.95,0.39,0.23,0,11,0.11,-11.01,0,0.06,176.57,3,0.49
Alvvays,Dreams Tonite,234,6TcxxINfeaBEQ35sHMldTD,0.01,0.51,0.62,0,2,0.13,-5.72,1,0.02,99.93,4,0.43
Frank Ocean,Thinkin Bout You,230,7DfFc7a6Rwfi3YQMRbDMau,0.41,0.72,0.34,0,0,0.1,-11.2,1,0.05,129.83,4,0.2
Anderson .Paak,Yada Yada,229,13UTQPeYjMFgalnk6rQ8sM,0.07,0.65,0.55,0,6,0.49,-8.07,0,0.09,92.17,4,0.36
Frank Ocean,Monks,229,0msrDPXxZpts4FRnoX0bFr,0.05,0.75,0.76,0,0,0.21,-4.74,0,0.18,102.02,4,0.6
Frank Ocean,Novacane,228,4osgfFTICMkcGbbigdsa53,0.06,0.76,0.51,0,3,0.16,-9.11,1,0.09,93.51,4,0.37
Angie McMahon,Pasta,227,6QGlqpxLsR00sg4NRSA4Q9,0.22,0.46,0.45,0,0,0.09,-7.7,1,0.07,140.67,4,0.4
Faye Webster,Right Side of My Neck,227,3cxZT78mZDyLsLPJKcTu3U,0,0.72,0.52,0,1,0.33,-9.07,1,0.03,117.04,4,0.32
Mitski,Nobody,226,2P5yIMu2DNeMXTyOANKS6k,0.07,0.4,0.72,0,0,0.09,-5.25,1,0.04,117.3,4,0.49
