artist,title,play_count,mbid
Frank Ocean,White Ferrari,410,1515aef6-311f-404b-83aa-83d104745380
Frank Ocean,Pink + White,399,0e360068-12c7-4012-853c-6a6011e0b36a
Frank Ocean,Self Control,393,09e665ad-987f-4616-9499-52fa2a32f8c3
Frank Ocean,Seigfried,384,191a8d46-9b16-4acd-8c39-5dca192ecd18
Frank Ocean,Ivy,380,20ef5a77-b596-4263-818b-b1a7d1edbfb5
Frank Ocean,Nikes,380,079b495f-f4af-4878-a036-d0bcb0df65f8
Frank Ocean,Nights,378,6efd865d-1529-4cb8-8f09-c270add32f0a
Frank Ocean,Solo,375,19f5a8c6-3736-411b-9aef-77f8197bfd80
Frank Ocean,Good Guy,364,09876c16-803f-4841-ac37-798d35f560c0
Frank Ocean,Skyline To,354,21f10687-747b-4d1a-aee4-f066b16803b1
Phoebe Bridgers,Kyoto,336,ecdca4fa-45ad-47c5-b9e3-f57f41306a9e
Japanese Breakfast,Boyish,327,09f9b97d-2ccc-4a53-b498-9aac50340812
Frank Ocean,Bad Religion,319,0766f431-5fc2-4550-881c-e050f398f79f
Phoebe Bridgers,Motion Sickness,318,801edbb5-1463-474a-95f5-1a0f1314ad5d
Snail Mail,Pristine,308,a149f853-be58-4749-8d1c-64a7d3b3953f
Alvvays,"Archie, Marry Me",298,5aceaad9-7603-428d-bfd7-f2e8d25e5f8f
Phoebe Bridgers,I Know the End,293,1bdb6f30-2dc5-4640-ac04-cdaa9ae455c3
Alvvays,Forget About Life,290,99fc6e60-cd8c-406a-9b8f-41e4ab01015f
Phoebe Bridgers,ICU,289,5d17984e-559f-4317-91d0-ece5a906dad7
Snail Mail,Heat Wave,289,02af6b48-8cc1-4da5-9523-5639326e8225
Snail Mail,Full Control,288,40cd97ec-1bc3-40da-b77f-98ae265e6f95
Frank Ocean,Super Rich Kids,274,1c1dbdc6-43f1-4f50-b7c8-4a8300786b57
Weyes Blood,Andromeda,271,4cfd2673-4be3-45ee-b56a-3420d8e2617c
orion sun,dirty dancer,269,
Frank Ocean,Godspeed,268,078febad-b962-4173-9f07-52b8c9ab1e60
Alvvays,In Undertow,265,2bf71c07-6997-421f-9726-56f5e1102690
Faye Webster,Kingston,262,2a0c5fad-2428-44b1-a188-dad4399ac5f1
Tame Impala,The Less I Know the Better,256,334ba116-3e4b-4426-89d2-de92c8d20ab0
Japanese Breakfast,12 Steps,253,5f720c77-6d6a-4c28-b9e9-c11a0157c21a
Frank Ocean,Pyramids,251,03c9b6e1-46cb-3860-8389-d871fe7603ce
Japanese Breakfast,Till Death,249,4e505ee3-75ad-4775-ba27-d86f6c4c9214
Phoebe Bridgers,Scott Street,248,a18dc807-9ab2-4797-8c55-113318f3e103
Phoebe Bridgers,Smoke Signals,248,4b293f4a-c40d-4437-8efe-7ffd4189962c
orion sun,intro,247,
Frank Ocean,Crack Rock,245,24495cc5-957d-3f47-b955-77983a79397b
orion sun,Concrete,245,79832829-1657-4cbc-8273-4cc762a4c435
Alvvays,Party Police,244,1704df0e-b3f9-4c01-bd41-8d159180b035
Drake,Feel No Ways,240,18b312b6-f848-4bbe-9b01-2564a305f38a
orion sun,celebration,239,
